"hash","name","cty","age","rank_1","rank_2","rank_3","rank_4","score_1","score_2","score_3","score_4"
"bae5ec3c0f5676990a35467cdc083ce2","BERGRÓS BJÖRNSDÓTTIR","IS","17","2","3","6","1","210 reps","17:25","11:31","59 reps"
"80509954080a9ea7b4c9cca52bc27cb3","LUCY MCGONIGLE","IE","17","6","2","1","4","203 reps","16:33","8:19","57 reps"
"3a73c89ba18cac8bde7577c51cc5942c","REESE LITTLEWOOD","US","17","5","8","2","2","205 reps","18:46","10:27","59 reps"
"8859504b7bf2879dd76326051c4f8a34","KENDALL GILMORE","US","17","1","4","12","9","211 reps","17:58","13:25","50 reps"
"5568ffcc3112fa454118a3c3c4b14561","RYLEE BEEBE","US","17","10","7","3","8","194 reps","18:38","10:33","50 reps"
"f54b3d740163f30fa9dc525385d4f25e","MILEY WADE","US","16","16","5","10","12","185 reps","18:05","12:46","48 reps"
"afe7af27adaf02a2820156a5557adb8c","MARÍA GRANIZO","CH","16","8","6","7","22","197 reps","18:35","11:40","43 reps"
"5c1b5f7cf08b3901c0a4850dd6a06822","HANNAH WENDT","GB","17","9","11","9","21","195 reps","19:32","12:07","44 reps"
"0fc52a64bb068b910823ae436e451161","LILI-GABRIELLE DEROULEDE","FR","17","13","21","5","19","189 reps","292 reps","11:13","44 reps"
"e685c4f45b13af955f19cb3beccd459c","MORGAN HICKSON","US","17","14","31","22","5","187 reps","286 reps","146 reps","53 reps"
"cabd35788c68b00fd6b6e78787fe346c","KAYLA CAREY WEIR","IE","17","11","23","41","7","191 reps","291 reps","134 reps","50 reps"
"60a40c78c3587678ad15504dcde006e3","MARISSA NICHOLS","US","16","24","15","25","25","176 reps","298 reps","142 reps","43 reps"
"d3e632c406a8af18f09d041ca7d62b59","KAROLINE KROKEN","NO","16","4","13","57","20","206 reps","19:48","131 reps","44 reps"
"4eeb3652a183d3eeaa09a98228e04566","GABI NAPPER","NZ","17","33","46","13","3","169 reps","279 reps","13:46","59 reps"
"ff042e138a77e8ee5278a499e2058843","ISABELLA BARCLAY","CA","17","17","31","19","28","181 reps","286 reps","148 reps","42 reps"
"e7615e08fb135da32752db6fd7a42226","CHLOE SALIBA","AU","17","35","23","20","23","167 reps","291 reps","147 reps","43 reps"
"bb6c34bfdc292226b6d6842b13ee7956","TUVA BJERKELI","NO","17","14","9","40","39","187 reps","18:57","135 reps","39 reps"
"65d44f4770580ab3b2067a791c53d450","ELSIE LARSON","US","17","6","43","24","31","203 reps","281 reps","144 reps","42 reps"
"8ce55abbee31c5aef72117245cc6dea0","ELLA MCINTYRE","AU","17","17","25","64","13","181 reps","290 reps","130 reps","47 reps"
"4596b04888c65f913cbf7c9d486ae868","BRYNN CUPP","US","16","51","10","8","53","158 reps","19:05","11:42","35 reps"
