hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,score_1,score_2,score_3,score_4,trans_1,trans_2,trans_3,trans_4,zscore_1,zscore_2,zscore_3,zscore_4,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
5298863b1dde5c3cd28412d28e22ccd0,EMMA LAWSON,CA,19,10.0,2.0,6.0,26.0,226 reps,15:33,8:21,65 reps,226.0,-933.0,-501.0,65.0,3.470036435984679,0.09295012117753007,0.1889273665012277,3.4790911732789813,1.0,0.929796024278416,2.737547298514021
129f82680a30cffd3d4302a651f3aa7c,ALEXIS RAPTIS,US,25,15.0,10.0,3.0,18.0,222 reps,15:54,8:17,66 reps,222.0,-954.0,-497.0,66.0,3.2968840308833216,0.09023354297909968,0.18931932525239606,3.5760719159206213,1.0,0.929796024278416,2.7179232280372756
ac7f3752415759eb9ab4c122685844f9,GABRIELA MIGAŁA,PL,25,2.0,16.0,24.0,9.0,234 reps,16:11,9:14,67 reps,234.0,-971.0,-554.0,67.0,3.8163412461873936,0.08803440824703698,0.18373391304824727,3.673052658562262,1.0,0.929796024278416,2.8700865807896507
24f153b597cb63711d1644ba223d3f38,LAURA HORVATH,HU,27,7.0,11.0,52.0,30.0,229 reps,15:55,9:49,64 reps,229.0,-955.0,-589.0,64.0,3.599900739810697,0.09010418211250776,0.18030427397552432,3.382110430637341,1.0,0.929796024278416,2.742900930912434
a05d8aa07558dcdfecbffb94568aee6a,MADELINE STURT,AU,27,19.0,71.0,17.0,13.0,221 reps,17:06,8:58,66 reps,221.0,-1026.0,-538.0,66.0,3.2535959296079824,0.08091956058448119,0.1853017480529206,3.5760719159206213,1.0,0.929796024278416,2.7037683128199177
48dec38d3d76cc5e0770b642a6cc94f3,DANIELLE BRANDON,US,28,20.0,40.0,17.0,43.0,219 reps,16:37,8:58,63 reps,219.0,-997.0,-538.0,63.0,3.167019727057304,0.08467102571564697,0.1853017480529206,3.2851296879957004,1.0,0.929796024278416,2.6103265714838093
511b0025bbf6a1cb773f236c5386741a,MANON ANGONESE,BE,31,13.0,53.0,39.0,20.0,223 reps,16:50,9:40,65 reps,223.0,-1010.0,-580.0,65.0,3.3401721321586613,0.08298933444995196,0.18118618116565305,3.4790911732789813,1.0,0.929796024278416,2.7006557295417277
77312d4e0b39ca8390f2614b751e2ab5,EMMA TALL,SE,32,3.0,47.0,43.0,34.0,232 reps,16:45,9:43,64 reps,232.0,-1005.0,-583.0,64.0,3.7297650436367147,0.08363613878291158,0.1808922121022768,3.382110430637341,1.0,0.929796024278416,2.773896980568227
855e2fab006ab3b8aa1e1acbeacf575b,EMMA MCQUAID,IE,34,15.0,50.0,44.0,27.0,222 reps,16:48,9:44,65 reps,222.0,-1008.0,-584.0,65.0,3.2968840308833216,0.08324805618313581,0.18079422241448473,3.4790911732789813,1.0,0.929796024278416,2.6898003949683966
0eaaffa6f24dd9b8bc32edf80c4b8369,ALEX GAZAN,US,22,15.0,38.0,65.0,22.0,222 reps,16:36,9:58,65 reps,222.0,-996.0,-598.0,65.0,3.2968840308833216,0.08480038658223889,0.17942236678539555,3.4790911732789813,1.0,0.929796024278416,2.6898455136609005
c21535956f001613a01860807417e219,ELISA FULIANO,IT,28,44.0,54.0,14.0,41.0,213 reps,16:53,8:56,63 reps,213.0,-1013.0,-536.0,63.0,2.907291119405268,0.0826012518501762,0.18549772742850476,3.2851296879957004,1.0,0.929796024278416,2.544925970948328
