hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,score_1,score_2,score_3,score_4,trans_1,trans_2,trans_3,trans_4,zscore_1,zscore_2,zscore_3,zscore_4,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
bae5ec3c0f5676990a35467cdc083ce2,BERGRÓS BJÖRNSDÓTTIR,IS,17,2.0,3.0,6.0,1.0,210 reps,17:25,11:31,59 reps,210.0,-1045.0,-691.0,59.0,2.762429941561965,2.0343279238632097,0.12983087905897675,3.1244308339788844,1.0,0.8617148429137513,2.8744697375295103
80509954080a9ea7b4c9cca52bc27cb3,LUCY MCGONIGLE,IE,17,6.0,2.0,1.0,4.0,203 reps,16:33,8:19,57 reps,203.0,-993.0,-499.0,57.0,2.4891308945139468,2.2674208731396206,0.15260542842155606,2.920815317797893,1.0,0.8617148429137513,2.8192079713820055
3a73c89ba18cac8bde7577c51cc5942c,REESE LITTLEWOOD,US,17,5.0,8.0,2.0,2.0,205 reps,18:46,10:27,59 reps,205.0,-1126.0,-627.0,59.0,2.5672163365276663,1.6712408297980312,0.13742239551316984,3.1244308339788844,1.0,0.8617148429137513,2.7367924418681895
8859504b7bf2879dd76326051c4f8a34,KENDALL GILMORE,US,17,1.0,4.0,12.0,9.0,211 reps,17:58,13:25,50 reps,211.0,-1078.0,-805.0,50.0,2.801472662568824,1.886403552207026,0.11630849037494528,2.2081610111644228,1.0,0.8617148429137513,2.6148012719925555
5568ffcc3112fa454118a3c3c4b14561,RYLEE BEEBE,US,17,10.0,7.0,3.0,8.0,194 reps,18:38,10:33,50 reps,194.0,-1118.0,-633.0,50.0,2.1377464054522095,1.7071012835328636,0.13671069084558926,2.2081610111644228,1.0,0.8617148429137513,2.4091446906625227
f54b3d740163f30fa9dc525385d4f25e,MILEY WADE,US,16,16.0,5.0,10.0,12.0,185 reps,18:05,12:46,48 reps,185.0,-1085.0,-766.0,48.0,1.786361916390472,1.8550256551890474,0.1209345707142192,2.004545494983431,1.0,0.8617148429137513,2.3034317522330436
afe7af27adaf02a2820156a5557adb8c,MARÍA GRANIZO,CH,16,8.0,6.0,7.0,22.0,197 reps,18:35,11:40,43 reps,197.0,-1115.0,-700.0,43.0,2.2548745684727884,1.7205489536834258,0.12876332205760585,1.4955067045309522,1.0,0.8617148429137513,2.2616382300999445
5c1b5f7cf08b3901c0a4850dd6a06822,HANNAH WENDT,GB,17,9.0,11.0,9.0,21.0,195 reps,19:32,12:07,44 reps,195.0,-1172.0,-727.0,44.0,2.176789126459069,1.4650432208227446,0.12556065105349312,1.597314462621448,1.0,0.8617148429137513,2.20289170815294
0fc52a64bb068b910823ae436e451161,LILI-GABRIELLE DEROULEDE,FR,17,13.0,21.0,5.0,19.0,189 reps,292 reps,11:13,44 reps,189.0,-1234.4985322896282,-673.0,44.0,1.9425328004179108,1.1848900051143518,0.13196599306171855,1.597314462621448,1.0,0.8617148429137513,2.0758906582176087
e685c4f45b13af955f19cb3beccd459c,MORGAN HICKSON,US,17,14.0,31.0,22.0,5.0,187 reps,286 reps,146 reps,53 reps,187.0,-1260.3971028971027,-918.4931506849316,53.0,1.8644473584041914,1.0687981934808977,0.10284622286146285,2.51358428543591,1.0,0.8617148429137513,2.2491338579593667
cabd35788c68b00fd6b6e78787fe346c,KAYLA CAREY WEIR,IE,17,11.0,23.0,41.0,7.0,191 reps,291 reps,134 reps,50 reps,191.0,-1238.740795287187,-1000.7462686567164,50.0,2.02061824243163,1.1658738206199832,0.0930895681975333,2.2081610111644228,1.0,0.8617148429137513,2.2336505035171434
60a40c78c3587678ad15504dcde006e3,MARISSA NICHOLS,US,16,24.0,15.0,25.0,25.0,176 reps,298 reps,142 reps,43 reps,176.0,-1209.642857142857,-944.3661971830985,43.0,1.4349774273287346,1.2963069786954529,0.09977722820191695,1.4955067045309522,1.0,0.8617148429137513,1.9433569276030154
d3e632c406a8af18f09d041ca7d62b59,KAROLINE KROKEN,NO,16,4.0,13.0,57.0,20.0,206 reps,19:48,131 reps,44 reps,206.0,-1188.0,-1023.6641221374045,44.0,2.6062590575345257,1.3933223133530799,0.09037111098201095,1.597314462621448,1.0,0.8617148429137513,2.2835315790365174
4eeb3652a183d3eeaa09a98228e04566,GABI NAPPER,NZ,17,33.0,46.0,13.0,3.0,169 reps,279 reps,13:46,59 reps,169.0,-1292.0199692780338,-826.0,59.0,1.1616783802807167,0.9270469013788767,0.11381752403841316,3.1244308339788844,1.0,0.8617148429137513,2.1934582528329742
ff042e138a77e8ee5278a499e2058843,ISABELLA BARCLAY,CA,17,17.0,31.0,19.0,28.0,181 reps,286 reps,148 reps,42 reps,181.0,-1260.3971028971027,-906.0810810810812,42.0,1.630191032363033,1.0687981934808977,0.1043185108400288,1.3936989464404566,1.0,0.8617148429137513,1.9109665136948553
e7615e08fb135da32752db6fd7a42226,CHLOE SALIBA,AU,17,35.0,23.0,20.0,23.0,167 reps,291 reps,147 reps,43 reps,167.0,-1238.740795287187,-912.2448979591837,43.0,1.0835929382669973,1.1658738206199832,0.10358737463298585,1.4955067045309522,1.0,0.8617148429137513,1.8238550524264812
bb6c34bfdc292226b6d6842b13ee7956,TUVA BJERKELI,NO,17,14.0,9.0,40.0,39.0,187 reps,18:57,135 reps,39 reps,187.0,-1137.0,-993.3333333333333,39.0,1.8644473584041914,1.6219327059126365,0.09396887164255413,1.088275672168969,1.0,0.8617148429137513,2.028870994945839
65d44f4770580ab3b2067a791c53d450,ELSIE LARSON,US,17,6.0,43.0,24.0,31.0,203 reps,281 reps,144 reps,42 reps,203.0,-1282.8240976105744,-931.2500000000001,42.0,2.4891308945139468,0.9682679176891749,0.1013330379946034,1.3936989464404566,1.0,0.8617148429137513,2.099822542073297
8ce55abbee31c5aef72117245cc6dea0,ELLA MCINTYRE,AU,17,17.0,25.0,64.0,13.0,181 reps,290 reps,130 reps,47 reps,181.0,-1243.012315270936,-1031.5384615384614,47.0,1.630191032363033,1.146726490025653,0.08943707696436994,1.9027377368929352,1.0,0.8617148429137513,2.0539879269752492
4596b04888c65f913cbf7c9d486ae868,BRYNN CUPP,US,16,51.0,10.0,8.0,53.0,158 reps,19:05,11:42,35 reps,158.0,-1145.0,-702.0,35.0,0.73220844920526,1.5860722521778041,0.12852608716841232,0.681044639806986,1.0,0.8617148429137513,1.643677700003367
81353f15a5e926e4f6c1bf96177f7c07,BAYLEE GARNTO,US,17,24.0,62.0,17.0,24.0,176 reps,272 reps,149 reps,43 reps,176.0,-1325.2704831932774,-900.0,43.0,1.4349774273287346,0.7779995868892524,0.1050398331382524,1.4955067045309522,1.0,0.8617148429137513,1.8150957308855493
b3dd3b58291a43060fb410fff97f29a6,BELINDA DENNETT,GB,16,3.0,1.0,56.0,69.0,209 reps,16:30,131 reps,33 reps,209.0,-990.0,-1023.6641221374045,33.0,2.723387220555105,2.2808685432901825,0.09037111098201095,0.4774291236259945,1.0,0.8617148429137513,2.254728842527075
d0289a13096fabe889729f83dbb22b39,TAYAH BEBZUCK MAROM,CA,16,37.0,19.0,16.0,58.0,165 reps,294 reps,14:23,34 reps,165.0,-1226.100583090379,-863.0,34.0,1.005507496253278,1.2225342887052457,0.10942867858833279,0.5792368817164902,1.0,0.8617148429137513,1.5908916792295882
0b4cf75608c1032e36ea769b5f3d9206,AVA LABOUNTY,US,16,51.0,16.0,34.0,32.0,158 reps,296 reps,138 reps,41 reps,158.0,-1217.8161196911196,-971.7391304347825,41.0,0.73220844920526,1.259669865761127,0.09653032080848432,1.2918911883499606,1.0,0.8617148429137513,1.7067897989449592
f89eb06565ad1de540a160f9b097dc52,ABIGAIL MOORE,US,17,26.0,78.0,28.0,10.0,175 reps,267 reps,141 reps,49 reps,175.0,-1350.0882825040128,-951.0638297872341,49.0,1.395934706321875,0.6667523938913796,0.0989827721375664,2.106353253073927,1.0,0.8617148429137513,1.9287206242699382
b48b2d4822ecbb46e3b2346169907eba,EDEN HANSEN,US,17,39.0,38.0,29.0,42.0,164 reps,282 reps,140 reps,38 reps,164.0,-1278.275075987842,-957.8571428571429,38.0,0.9664647752464182,0.9886591651192684,0.09817696670086799,0.9864679140784733,1.0,0.8617148429137513,1.6216570482000083
eaa09abe587794a81e86d4340651da4a,LEONIE BERNHARD,AT,17,28.0,12.0,85.0,26.0,174 reps,19:33,127 reps,43 reps,174.0,-1173.0,-1055.9055118110236,43.0,1.3568919853150152,1.4605606641058906,0.08654671972867765,1.4955067045309522,1.0,0.8617148429137513,1.9615913613338853
cfbdb3669b117e28e08a0a6181a8fbee,ÉLINA CESLAISAR,FR,16,61.0,30.0,15.0,47.0,154 reps,287 reps,14:14,36 reps,154.0,-1256.0054753608758,-854.0,36.0,0.5760375651778211,1.0884839129913328,0.11049623558970369,0.7828523978974818,1.0,0.8617148429137513,1.5011823708278362
7d22c4b5586cad0c6cc94566687a6be1,MIRA VARGA,HU,16,63.0,19.0,21.0,52.0,153 reps,294 reps,146 reps,35 reps,153.0,-1226.100583090379,-918.4931506849316,35.0,0.5369948441709614,1.2225342887052457,0.10284622286146285,0.681044639806986,1.0,0.8617148429137513,1.4975698417999153
cf33b7c723fedb45a7a2a4c818aea828,MARLEY FRANCIS,US,16,85.0,21.0,14.0,44.0,147 reps,292 reps,13:52,37 reps,147.0,-1234.4985322896282,-832.0,37.0,0.3027385181298031,1.1848900051143518,0.11310581937083257,0.8846601559879775,1.0,0.8617148429137513,1.4830634675644925
43b55de0aba4569a9c829c4bb3e834fd,MAKAYLA MCCARTY,US,17,19.0,33.0,100.0,17.0,179 reps,285 reps,124 reps,46 reps,179.0,-1264.8195488721803,-1081.4516129032259,46.0,1.5521055903493137,1.0489743285703894,0.08351650649770995,1.8009299788024395,1.0,0.8617148429137513,1.9830964439687144
de8f30022d84b28791f7da18f75b76c3,BROOKLYNN SITTNER,US,17,70.0,57.0,11.0,35.0,151 reps,274 reps,13:22,40 reps,151.0,-1315.5969760166838,-802.0,40.0,0.45890940215724196,0.821361631459228,0.11666434270873559,1.190083430259465,1.0,0.8617148429137513,1.508469544559919
994165abbc83ec0269f20d96487fa6c7,LILI TAKATS,CA,17,11.0,68.0,70.0,29.0,191 reps,271 reps,130 reps,42 reps,191.0,-1330.1607801792304,-1031.5384615384614,42.0,2.02061824243163,0.7560785532874577,0.08943707696436994,1.3936989464404566,1.0,0.8617148429137513,1.9266730476947298
fca9bca36ca249ccbd4f2990b6207adf,ISMENE OYANGUREN,ES,17,61.0,62.0,30.0,27.0,154 reps,272 reps,140 reps,42 reps,154.0,-1325.2704831932774,-957.8571428571429,42.0,0.5760375651778211,0.7779995868892524,0.09817696670086799,1.3936989464404566,1.0,0.8617148429137513,1.5731931092158509
48730995a7c4199881a79804b2066fc0,SHAUNA ANDERS,US,17,34.0,70.0,51.0,33.0,168 reps,270 reps,132 reps,41 reps,168.0,-1335.0873015873015,-1015.909090909091,41.0,1.122635659273857,0.7339951416589835,0.09129099296908164,1.2918911883499606,1.0,0.8617148429137513,1.671668088476722
4210d34944a0e9763705e81af8a123f2,CONSTANZA CURUTCHET,CL,16,26.0,38.0,86.0,46.0,175 reps,282 reps,126 reps,36 reps,175.0,-1278.275075987842,-1064.2857142857142,36.0,1.395934706321875,0.9886591651192684,0.08555268152592635,0.7828523978974818,1.0,0.8617148429137513,1.6749645806298892
a8bf705813d4b161954b6fb85c4c9b40,LUDY REIS,BR,16,35.0,93.0,38.0,37.0,167 reps,261 reps,136 reps,40 reps,167.0,-1381.1247947454845,-986.029411764706,40.0,1.0835929382669973,0.5276294674756478,0.0948352441545599,1.190083430259465,1.0,0.8617148429137513,1.5857501129529188
