hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,score_1,score_2,score_3,score_4,trans_1,trans_2,trans_3,trans_4,zscore_1,zscore_2,zscore_3,zscore_4,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
461ea439182a3bf2ba1b09806df0ad8e,TOM MUHLBEIER,US,67,17.0,6.0,4.0,4.0,162 reps,226 reps,13:10,55 reps,162.0,226.0,-790.0,55.0,1.5237760632184125,1.8436216361621598,0.3347282560038116,2.333488610616716,1.0,0.870171369606868,2.379075011107143
8a5f48e7d7d6f177032dbdb110497ae7,FREDDIE CHERRY,US,66,12.0,3.0,26.0,10.0,166 reps,232 reps,124 reps,52 reps,166.0,232.0,-1074.1935483870968,52.0,1.729571990334825,2.040765111198175,0.3221604322013968,2.014522541539611,1.0,0.870171369606868,2.3969263884253698
cab3f923539b6c2cb326d4f9843d0b16,THOMAS ACKERMAN,US,70,21.0,29.0,16.0,7.0,161 reps,200 reps,126 reps,53 reps,161.0,200.0,-1057.142857142857,53.0,1.4723270814393092,0.989333244339428,0.3229144608712352,2.1208445645653122,1.0,0.870171369606868,2.0965262074106894
a63f2076debd467286b2d00fdc14bf8e,MATT BELL,US,67,2.0,65.0,8.0,1.0,171 reps,186 reps,140 reps,59 reps,171.0,186.0,-951.4285714285714,59.0,1.9868168992303405,0.5293318025887263,0.32758943862423334,2.7587767027195227,1.0,0.870171369606868,2.2708000803975734
467e8322b1afc4e4aa4cdc543396829b,JOHN MARIOTTI,US,67,3.0,11.0,28.0,40.0,170 reps,221 reps,123 reps,43 reps,170.0,221.0,-1082.9268292682927,43.0,1.9353679174512375,1.6793354069654807,0.32177422239489417,1.0576243343082956,1.0,0.870171369606868,2.118696839886845
4f88318413d04e9fadeef8d846d4e732,JEAN-LOUIS DURET,FR,66,13.0,9.0,11.0,59.0,164 reps,222 reps,136 reps,40 reps,164.0,222.0,-979.4117647058823,40.0,1.6266740267766187,1.7121926528048164,0.32635194451314564,0.7386582652311905,1.0,0.870171369606868,1.971140591938311
657e526aa13fb99b0b5b499292f057e8,ASLE  VIKING KARLSEN,NO,65,4.0,5.0,72.0,12.0,168 reps,228 reps,114 reps,51 reps,168.0,228.0,-1168.421052631579,51.0,1.8324699538930311,1.9093361278408314,0.31799343165755295,1.908200518513909,1.0,0.870171369606868,2.3621713775831994
70d2c1af9f2245ba7cb413cfaf7ad333,TOM DE NOLF,US,65,66.0,2.0,1.0,25.0,143 reps,237 reps,12:09,45 reps,143.0,237.0,-729.0,45.0,0.5462454094154532,2.205051340394854,0.33742584451804164,1.270268380359699,1.0,0.870171369606868,1.95991911327888
a2d2ce2957bfd752819dc6dece2f81aa,HUGO BRAUN,US,66,17.0,15.0,38.0,24.0,162 reps,215 reps,120 reps,45 reps,162.0,215.0,-1110.0,45.0,1.5237760632184125,1.4821919319294656,0.3205769719947361,1.270268380359699,1.0,0.870171369606868,2.0193747064824463
bf6981103fc0d545bf6c179cb656c85a,PATRICK KENNEY,US,67,16.0,29.0,21.0,55.0,163 reps,200 reps,125 reps,41 reps,163.0,200.0,-1065.6,41.0,1.5752250449975156,0.989333244339428,0.32254046265099534,0.8449802882568922,1.0,0.870171369606868,1.8031911296680758
